"id_tarif_inacbg","kd_inacbg","uraian","kelas","tipe_rs","tarif"
"10","A-4-10-II ","SEPTIKEMIA SEDANG","I","C","4542400"
"13","A-4-10-III","SEPTIKEMIA BERAT","III","C","4374700"
"2","A-4-10-I  "," SEPTIKEMIA RINGAN","III","B","2483000"
"11","A-4-10-II ","SEPTIKEMIA SEDANG","II","B","5090400"
"16","A-4-10-III","SEPTIKEMIA BERAT","I","C","6124500"
"21","A-4-11-I  ","INFEKSI SESUDAH OPERASI & TRAUMA RINGAN","III","B","3226600"
"19","A-4-11-I  ","INFEKSI SESUDAH OPERASI & TRAUMA RINGAN","III","C","2796400"
"4","A-4-10-I  "," SEPTIKEMIA RINGAN","I","C","2658800"
"24","A-4-11-I  ","INFEKSI SESUDAH OPERASI & TRAUMA RINGAN","I","B","4517200"
"42","A-4-12-I  ","DEMAM RINGAN","I","C","3545000"
"30","A-4-11-II ","INFEKSI SESUDAH OPERASI & TRAUMA SEDANG","I","B","6429300"
"26","A-4-11-II ","INFEKSI SESUDAH OPERASI & TRAUMA SEDANG","III","B","4592300"
"32","A-4-11-III","INFEKSI SESUDAH OPERASI & TRAUMA BERAT","III","B","6356200"
"34","A-4-11-III","INFEKSI SESUDAH OPERASI & TRAUMA BERAT","I","C","7712200"
"7","A-4-10-II ","SEPTIKEMIA SEDANG","III","C","3244500"
"36","A-4-11-III","INFEKSI SESUDAH OPERASI & TRAUMA BERAT","I","B","8898700"
"38","A-4-12-I  ","DEMAM RINGAN","III","B","2585500"
"41","A-4-12-I  ","DEMAM RINGAN","I","B","3619700"
"39","A-4-12-I  ","DEMAM RINGAN","II","B","3102600"
"44","A-4-12-II ","DEMAM SEDANG","III","C","3153400"
"47","A-4-12-II ","DEMAM SEDANG","I","C","4414800"
"48","A-4-12-II ","DEMAM SEDANG","I","B","4507700"
"45","A-4-12-II ","DEMAM SEDANG","II","C","3784100"
"50","A-4-12-III","DEMAM BERAT","III","B","3542700"
