
column_name	data_type	is_nullable	column_default
no_register	character varying	NO	
tgl_kunjungan	timestamp with time zone	YES	
jns_kunj	character varying	YES	
ublnrj	integer	YES	
uharirj	integer	YES	
umurrj	integer	YES	
cara_kunj	character varying	YES	
asal_rujukan	character varying	YES	
no_rujukan	character varying	YES	
kelas_pasien	character varying	YES	
cara_bayar	character varying	YES	
status_bpjs	integer	YES	
id_poli	character varying	YES	
kd_ruang	character varying	YES	
biayadaftar	integer	YES	
nama_penjamin	character varying	YES	
hubungan	character varying	YES	
vtot	integer	YES	
status	character	YES	0
tgl_pulang	date	YES	
ket_pulang	character varying	YES	
no_sep	character varying	YES	
cetak_kwitansi	character	YES	0
ket_tambahan	character varying	YES	
xupdate	timestamp with time zone	YES	
xuser	character varying	YES	
xterminal	character varying	YES	
lab	integer	YES	0
status_lab	integer	YES	0
vtot_lab	integer	YES	
jadwal_lab	timestamp without time zone	YES	
pa	integer	YES	0
status_pa	integer	YES	0
vtot_pa	integer	YES	
jadwal_pa	timestamp without time zone	YES	
obat	integer	YES	0
status_obat	integer	YES	0
vtot_obat	integer	YES	
rad	integer	YES	0
status_rad	integer	YES	0
vtot_rad	integer	YES	
jadwal_rad	timestamp without time zone	YES	
diagnosa	character varying	YES	
tgl_cetak_kw	timestamp without time zone	YES	
tgl_kontrol	date	YES	
tgl_rujukan	timestamp without time zone	YES	
diskon	integer	YES	
pasien_bayar	integer	YES	
tunai	integer	YES	
no_kkkd	character varying	YES	
nilai_kkkd	integer	YES	
persen_kk	integer	YES	
lunas	integer	YES	
biaya_alkes	integer	YES	
diag_baru	character varying	YES	
diag_lama	character varying	YES	
xcetak	character varying	YES	
catatan	text	YES	
alasan_berobat	character varying	YES	
datang_dengan	character varying	YES	
kecelakaan	character varying	YES	
lokasi_kecelakaan	character varying	YES	
no_antrian	integer	YES	
counter_kwitansi	integer	YES	
hapusSEP	character varying	YES	
catatan_plg	character varying	YES	
ok	integer	YES	0
status_ok	integer	YES	0
vtot_ok	integer	YES	
jadwal_ok	timestamp without time zone	YES	
waktu_masuk_poli	timestamp without time zone	YES	
waktu_keluar_poli	timestamp without time zone	YES	
waktu_masuk_lab	timestamp without time zone	YES	
waktu_keluar_lab	timestamp without time zone	YES	
waktu_masuk_rad	timestamp without time zone	YES	
waktu_keluar_rad	timestamp without time zone	YES	
catatan_diagnosa	text	YES	
klaim	integer	YES	
status_fisio	integer	YES	
vtot_fisio	integer	YES	
fisio	integer	YES	
cetak_tracer	integer	YES	
diskon2	integer	YES	
no_kkkd2	character varying	YES	
nilai_kkkd2	integer	YES	
persen_kk2	integer	YES	
tunai2	integer	YES	
vtot_retur	integer	YES	
retur	integer	YES	
vtot_bayar	integer	YES	
note_retur	character varying	YES	
xcreate	character varying	YES	
xpulang	character varying	YES	
poli_ke	integer	YES	
waktu_masuk_pa	timestamp without time zone	YES	
waktu_keluar_pa	timestamp without time zone	YES	
online	integer	YES	
ket_pengajuan_sep	text	YES	
kll_penjamin	character varying	YES	
kll_tgl_kejadian	timestamp without time zone	YES	
kll_provinsi	character varying	YES	
kll_kabupaten	character varying	YES	
kll_kecamatan	character varying	YES	
kll_ketkejadian	text	YES	
katarak	smallint	YES	
